20127001,10,9.8,6.5,8.77
20127005,10,10,9.5,9.83
20127013,10,10,9.5,9.83
20127027,10,8.6,8.5,9.03
20127056,10,10,8.5,9.5
20127100,10,10,9.5,9.83
20127101,0,4,0,1.33
20127118,10,10,10,10
20127121,10,10,8.5,9.5
20127125,8.7,8,8.5,8.4
20127165,10,9.2,8.5,9.23
20127203,6,9.4,7,7.47
20127210,10,10,8.5,9.5
20127271,10,10,0,6.67
20127285,6.7,6,0,4.23
20127298,10,10,8.5,9.5
20127303,8,6,8.5,7.5
20127317,6,10,8.5,8.17
20127337,10,10,8.5,9.5
20127343,5.3,8,8.5,7.27
20127349,8,5,5,6
20127355,10,10,8.5,9.5
20127369,6,4,0,3.33
20127370,10,10,8.5,9.5
20127376,10,10,10,10
20127400,10,9.6,8.5,9.37
20127437,8,10,10,9.33
20127467,8.7,10,5,7.9
20127468,10,10,0,6.67
20127520,6,4,8.5,6.17
20127530,10,10,10,10
20127572,4,8,8.5,6.83
20127575,8,10,8.5,8.83
20127576,8,8,9,8.33
20127577,10,10,8.5,9.5
20127583,8,8,9.5,8.5
20127584,8,8.6,9,8.53
20127585,6,4,8.5,6.17
20127610,10,10,6,8.67
20127620,4,10,8.5,7.5
20127645,8,5,0,4.33
20127659,4,8,8.5,6.83
20127660,4,6,0,3.33
20127673,6,8,8.5,7.5
20127678,6,7.6,9.5,7.7
