BAA00005_20CLC06,Kinh tế đại cương,Phạm Xuân Kiên,2,50,Fri,S1,Fri,S1
CSC00004_20CLC11,Nhập môn Công nghệ thông tin,Trần Thái Sơn,4,50,Thu,S3,Mon,S1
CSC10001_20CLC11,Nhập môn lập trình,Trương Toàn Thịnh,4,50,Sat,S3,Fri,S4
CSC10101_20CLC11,Kỹ năng mềm,Lương Vĩ Minh,3,50,Thu,S1,Fri,S1
MTH00009_20CLC11,Toán rời rạc,Nguyễn Viết Đông,4,50,Mon,S1,Tue,S4
BAA00005_20CLC04,Kinh tế đại cương,Huỳnh Thị Ly Na,2,50,Fri,S3,Fri,S3
CSC00004_20CLC06,Nhập môn Công nghệ thông tin,Chung Thùy Linh,4,50,Mon,S1,Tue,S4
CSC10001_20CLC06,Nhập môn lập trình,Tạ Viết Phương,4,50,Mon,S3,Thu,S3
CSC10101_20CLC06,Kỹ năng mềm,Lương Vĩ Minh,3,50,Tue,S1,Wed,S3
MTH00009_20CLC06,Toán rời rạc,Phạm Thế Nhân,4,50,Thu,S1,Sat,S3
BAA00005_20CLC01,Kinh tế đại cương,Phạm Xuân Kiên,2,50,Sat,S3,Sat,S3
CSC00004_20CLC01,Nhập môn Công nghệ thông tin,Tiết Gia Hồng,4,50,Sat,S1,Fri,S1
CSC10001_20CLC01,Nhập môn lập trình,Lê Hoàng Thái,4,50,Thu,S3,Mon,S1
CSC10101_20CLC01,Kỹ năng mềm,Steve Job,3,50,Wed,S3,Tue,S2
MTH00009_20CLC01,Toán rời rạc,Phạm Thế Nhân,4,50,Thu,S1,Fri,S2
